3124025	"00:00:29"	"00:27:18"	"02/01/2021"	"02/01/2021"	28	4
3124026	"00:04:20"	"00:33:55"	"02/01/2021"	"02/01/2021"	2	23
3124027	"00:04:50"	"00:14:11"	"02/01/2021"	"02/01/2021"	33	8
3124028	"00:05:08"	"00:15:06"	"02/01/2021"	"02/01/2021"	15	2
3124029	"00:06:13"	"00:14:26"	"02/01/2021"	"02/01/2021"	26	20
3124030	"00:06:55"	"00:19:50"	"02/01/2021"	"02/01/2021"	24	10
3124031	"00:06:57"	"00:14:52"	"02/01/2021"	"02/01/2021"	26	13
3124032	"00:07:31"	"00:35:32"	"02/01/2021"	"02/01/2021"	32	22
3124033	"00:11:38"	"00:19:37"	"02/01/2021"	"02/01/2021"	9	14
3124034	"00:11:43"	"00:30:46"	"02/01/2021"	"02/01/2021"	28	33
3124035	"00:16:30"	"00:33:53"	"02/01/2021"	"02/01/2021"	3	8
3124037	"00:18:38"	"01:06:34"	"02/01/2021"	"02/01/2021"	27	10
3124038	"00:19:27"	"08:43:49"	"02/01/2021"	"02/01/2021"	16	13
3124039	"00:20:51"	"00:27:08"	"02/01/2021"	"02/01/2021"	24	15
3124040	"00:21:55"	"00:33:19"	"02/01/2021"	"02/01/2021"	2	40
3124041	"00:24:32"	"00:40:53"	"02/01/2021"	"02/01/2021"	24	19
3124042	"00:25:40"	"00:45:25"	"02/01/2021"	"02/01/2021"	44	13
3124043	"00:30:29"	"00:57:47"	"02/01/2021"	"02/01/2021"	18	18
3124044	"00:32:03"	"00:59:07"	"02/01/2021"	"02/01/2021"	34	30
3124045	"00:32:04"	"00:50:34"	"02/01/2021"	"02/01/2021"	2	7
3124046	"00:32:20"	"00:58:43"	"02/01/2021"	"02/01/2021"	28	37
3124047	"00:36:18"	"00:52:03"	"02/01/2021"	"02/01/2021"	2	48
3124048	"00:36:51"	"00:59:43"	"02/01/2021"	"02/01/2021"	4	34
3124049	"00:40:00"	"00:48:47"	"02/01/2021"	"02/01/2021"	9	14
3124050	"00:43:05"	"00:54:43"	"02/01/2021"	"02/01/2021"	10	45
3124051	"00:44:52"	"01:02:10"	"02/01/2021"	"02/01/2021"	51	32
3124052	"00:45:42"	"01:01:11"	"02/01/2021"	"02/01/2021"	51	32
3124055	"00:48:20"	"01:01:24"	"02/01/2021"	"02/01/2021"	51	32
3124056	"00:48:31"	"01:14:03"	"02/01/2021"	"02/01/2021"	18	52
3124057	"00:50:12"	"01:22:24"	"02/01/2021"	"02/01/2021"	51	41
3124059	"00:51:22"	"01:11:18"	"02/01/2021"	"02/01/2021"	19	48
